goos: windows
goarch: amd64
pkg: github.com/gabrielxsuarez/go-firebird-driver/wire
cpu: Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
BenchmarkAppendBLR_5Cols-8                  	18174961	        65.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	18736737	        65.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	17675755	        65.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	19046620	        64.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	18676141	        65.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_5Cols-8                  	19018004	        64.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3399104	       351.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3327715	       348.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3496480	       354.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3526759	       351.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3503530	       347.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3413146	       346.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3451785	       346.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3397891	       348.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3509022	       349.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAppendBLR_30Cols-8                 	 3307730	       357.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  321936	      3636 ns/op	 281.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  309577	      3654 ns/op	 280.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  340356	      3615 ns/op	 283.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  303289	      3611 ns/op	 283.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  305714	      3556 ns/op	 287.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  345090	      3573 ns/op	 286.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  341955	      3558 ns/op	 287.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  330048	      3570 ns/op	 286.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  347762	      3642 ns/op	 281.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_1KB-8                  	  347229	      3543 ns/op	 289.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	   10000	    117176 ns/op	 279.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	   10000	    114309 ns/op	 286.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	   10000	    114485 ns/op	 286.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	   10000	    115477 ns/op	 283.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	    9908	    115322 ns/op	 284.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	   10000	    116236 ns/op	 281.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	    9404	    115888 ns/op	 282.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkArc4Encrypt_32KB-8                 	   10000	    116559 ns/op	 281.13 MB/s	       0 B/op	       0 allocs/op
